Identifier;DimensionGroupId;DimensionId;Index;Title;Description;DetailRegionCode
NL00;NL;WijkenEnBuurten;1;Nederland;;
GM1680;GM;WijkenEnBuurten;2;Aa en Hunze;Gemeente 'Aa en Hunze' (GM1680);GM1680
WK168000;GM1680;WijkenEnBuurten;3;Wijk 00 Annen;Wijk 'Wijk 00 Annen' (WK168000) is een wijk in de gemeente 'Aa en Hunze'.;WK168000
BU16800000;GM1680;WijkenEnBuurten;4;Annen;Buurt 'Annen' (BU16800000) is een buurt in wijk 'Wijk 00 Annen' in de gemeente 'Aa en Hunze'.;BU16800000
BU16800009;GM1680;WijkenEnBuurten;5;Verspreide huizen Annen;Buurt 'Verspreide huizen Annen' (BU16800009) is een buurt in wijk 'Wijk 00 Annen' in de gemeente 'Aa en Hunze'.;BU16800009
WK168001;GM1680;WijkenEnBuurten;6;Wijk 01 Eext;Wijk 'Wijk 01 Eext' (WK168001) is een wijk in de gemeente 'Aa en Hunze'.;WK168001
BU16800100;GM1680;WijkenEnBuurten;7;Eext;Buurt 'Eext' (BU16800100) is een buurt in wijk 'Wijk 01 Eext' in de gemeente 'Aa en Hunze'.;BU16800100
BU16800109;GM1680;WijkenEnBuurten;8;Verspreide huizen Eext;Buurt 'Verspreide huizen Eext' (BU16800109) is een buurt in wijk 'Wijk 01 Eext' in de gemeente 'Aa en Hunze'.;BU16800109
WK168002;GM1680;WijkenEnBuurten;9;Wijk 02 Anloo;Wijk 'Wijk 02 Anloo' (WK168002) is een wijk in de gemeente 'Aa en Hunze'.;WK168002
BU16800200;GM1680;WijkenEnBuurten;10;Anloo;Buurt 'Anloo' (BU16800200) is een buurt in wijk 'Wijk 02 Anloo' in de gemeente 'Aa en Hunze'.;BU16800200
BU16800209;GM1680;WijkenEnBuurten;11;Verspreide huizen Anloo;Buurt 'Verspreide huizen Anloo' (BU16800209) is een buurt in wijk 'Wijk 02 Anloo' in de gemeente 'Aa en Hunze'.;BU16800209
WK168003;GM1680;WijkenEnBuurten;12;Wijk 03 Gasteren;Wijk 'Wijk 03 Gasteren' (WK168003) is een wijk in de gemeente 'Aa en Hunze'.;WK168003
BU16800300;GM1680;WijkenEnBuurten;13;Gasteren;Buurt 'Gasteren' (BU16800300) is een buurt in wijk 'Wijk 03 Gasteren' in de gemeente 'Aa en Hunze'.;BU16800300
BU16800309;GM1680;WijkenEnBuurten;14;Verspreide huizen Gasteren;Buurt 'Verspreide huizen Gasteren' (BU16800309) is een buurt in wijk 'Wijk 03 Gasteren' in de gemeente 'Aa en Hunze'.;BU16800309
WK168004;GM1680;WijkenEnBuurten;15;Wijk 04 Anderen;Wijk 'Wijk 04 Anderen' (WK168004) is een wijk in de gemeente 'Aa en Hunze'.;WK168004
BU16800400;GM1680;WijkenEnBuurten;16;Anderen;Buurt 'Anderen' (BU16800400) is een buurt in wijk 'Wijk 04 Anderen' in de gemeente 'Aa en Hunze'.;BU16800400
BU16800409;GM1680;WijkenEnBuurten;17;Verspreide huizen Anderen;Buurt 'Verspreide huizen Anderen' (BU16800409) is een buurt in wijk 'Wijk 04 Anderen' in de gemeente 'Aa en Hunze'.;BU16800409
WK168005;GM1680;WijkenEnBuurten;18;Wijk 05 Schipborg;Wijk 'Wijk 05 Schipborg' (WK168005) is een wijk in de gemeente 'Aa en Hunze'.;WK168005
BU16800500;GM1680;WijkenEnBuurten;19;Schipborg;Buurt 'Schipborg' (BU16800500) is een buurt in wijk 'Wijk 05 Schipborg' in de gemeente 'Aa en Hunze'.;BU16800500
BU16800509;GM1680;WijkenEnBuurten;20;Verspreide huizen Schipborg;Buurt 'Verspreide huizen Schipborg' (BU16800509) is een buurt in wijk 'Wijk 05 Schipborg' in de gemeente 'Aa en Hunze'.;BU16800509
WK168006;GM1680;WijkenEnBuurten;21;Wijk 06 Eexterveen;Wijk 'Wijk 06 Eexterveen' (WK168006) is een wijk in de gemeente 'Aa en Hunze'.;WK168006
